product_id,vendor_id,market_date,customer_id,quantity,cost_to_customer_per_qty,transaction_time
2.0,,,12.0,4.91,3.49,9:45:00
2.0,7.0,2019-09-18,12.0,6.33,3.49,18:34:00
2.0,,2020-09-19,10.0,5.16,3.49,9:57:00
4.0,7.0,2019-06-12,3.0,2.0,4.0,18:26:00
2.0,7.0,2020-09-09,20.0,0.31,3.49,18:32:00
3.0,7.0,,3.0,2.0,0.5,13:31:00
4.0,7.0,2019-05-08,12.0,1.0,4.0,17:30:00
3.0,7.0,2019-07-27,4.0,2.0,0.5,12:46:00
1.0,,2019-07-20,1.0,4.93,6.99,13:00:00
1.0,,2020-09-30,14.0,0.1,6.99,18:32:00
2.0,7.0,2020-09-02,7.0,4.83,3.49,16:51:00
3.0,7.0,2020-07-18,1.0,1.0,0.5,10:52:00
3.0,7.0,2020-09-05,10.0,5.0,,
1.0,7.0,2020-08-26,,2.21,,
1.0,7.0,,22.0,3.45,,
3.0,7.0,,17.0,4.0,0.5,8:47:00
2.0,7.0,2020-08-12,4.0,3.06,3.49,18:59:00
3.0,7.0,2020-09-26,24.0,5.0,0.5,10:41:00
1.0,7.0,2020-08-29,6.0,3.18,6.99,12:37:00
4.0,7.0,,3.0,5.0,4.0,
4.0,7.0,2019-04-24,1.0,3.0,4.0,18:22:00
2.0,7.0,2019-07-31,11.0,1.54,,18:55:00
3.0,7.0,2019-09-14,25.0,5.0,,12:47:00
1.0,7.0,2019-07-03,,2.02,6.99,18:18:00
2.0,7.0,,22.0,,3.49,18:45:00
3.0,7.0,2019-09-28,12.0,3.0,0.5,12:56:00
3.0,7.0,,17.0,4.0,0.5,8:47:00
1.0,7.0,2019-08-24,15.0,1.19,,8:47:00
2.0,7.0,2020-09-09,15.0,1.78,3.49,18:49:00
1.0,7.0,2020-09-09,9.0,1.14,6.99,18:26:00
3.0,7.0,2020-09-30,15.0,2.0,0.5,18:49:00
,7.0,,19.0,3.79,3.49,18:01:00
3.0,7.0,2020-09-02,5.0,2.0,0.5,17:16:00
3.0,7.0,2019-09-04,7.0,4.0,0.5,17:09:00
2.0,7.0,2019-08-31,5.0,,3.49,10:22:00
1.0,,2019-07-17,5.0,4.11,6.99,16:30:00
,7.0,2020-07-18,5.0,5.0,0.5,11:15:00
4.0,7.0,2019-04-10,5.0,4.0,4.0,18:53:00
1.0,7.0,2019-09-04,4.0,,6.99,18:33:00
3.0,7.0,2019-09-28,,5.0,0.5,11:17:00
3.0,7.0,2020-07-25,17.0,1.0,0.5,11:57:00
1.0,7.0,2020-09-26,14.0,3.91,,10:32:00
1.0,7.0,2020-08-29,5.0,3.42,6.99,9:52:00
2.0,7.0,2019-08-03,12.0,3.3,3.49,13:58:00
2.0,7.0,2020-08-08,9.0,,3.49,10:32:00
2.0,7.0,2020-09-19,15.0,3.88,3.49,
4.0,7.0,2019-06-01,8.0,3.0,4.0,10:45:00
3.0,7.0,2020-08-01,22.0,4.0,0.5,9:26:00
3.0,7.0,,13.0,2.0,0.5,18:53:00
3.0,7.0,2020-07-04,19.0,4.0,0.5,13:38:00
3.0,7.0,2019-07-10,,1.0,,18:35:00
,7.0,2020-09-30,18.0,2.26,6.99,18:58:00
2.0,7.0,2019-07-03,12.0,0.12,3.49,17:38:00
1.0,7.0,2020-08-01,,0.5,6.99,11:43:00
1.0,,2020-08-26,1.0,2.97,6.99,18:56:00
3.0,7.0,2019-08-03,2.0,3.0,0.5,8:27:00
4.0,7.0,2019-04-06,5.0,1.0,4.0,11:51:00
4.0,7.0,2019-06-01,9.0,2.0,4.0,11:55:00
3.0,7.0,,13.0,3.0,0.5,13:11:00
2.0,7.0,2020-09-26,7.0,4.03,,11:26:00
2.0,7.0,,14.0,2.08,3.49,12:58:00
3.0,7.0,2019-07-17,2.0,,0.5,18:56:00
4.0,7.0,2019-04-03,5.0,3.0,,18:54:00
4.0,7.0,,7.0,4.0,4.0,
2.0,7.0,2020-08-15,19.0,3.01,3.49,13:04:00
2.0,7.0,2020-09-19,6.0,3.07,3.49,12:30:00
4.0,7.0,2019-04-17,7.0,3.0,3.5,18:52:00
4.0,7.0,2019-05-01,1.0,4.0,4.0,18:59:00
,7.0,2020-08-26,22.0,5.0,0.5,18:34:00
2.0,7.0,2020-07-29,10.0,4.2,3.49,18:52:00
1.0,7.0,,4.0,,6.99,13:33:00
4.0,7.0,2019-06-01,10.0,4.0,4.0,
3.0,7.0,2020-07-11,1.0,5.0,0.5,
1.0,7.0,2020-09-02,,2.73,6.99,17:08:00
,7.0,2020-07-01,25.0,1.25,6.99,17:56:00
3.0,7.0,2019-08-31,8.0,4.0,0.5,12:51:00
4.0,7.0,2019-05-08,2.0,4.0,,18:10:00
2.0,7.0,2019-08-17,,6.55,,
1.0,7.0,2019-09-21,,1.82,,11:11:00
3.0,7.0,2020-07-08,3.0,4.0,0.5,18:52:00
3.0,7.0,2020-07-22,18.0,4.0,0.5,17:34:00
4.0,7.0,2019-06-05,17.0,4.0,4.0,16:58:00
1.0,7.0,2019-08-14,11.0,1.5,6.99,17:06:00
2.0,7.0,2019-09-14,6.0,,3.49,13:34:00
2.0,7.0,2020-08-05,12.0,0.22,3.49,18:26:00
3.0,7.0,2020-08-29,4.0,5.0,0.5,
2.0,7.0,2020-07-15,19.0,3.42,3.49,17:46:00
3.0,7.0,2020-07-18,20.0,3.0,0.5,12:09:00
3.0,7.0,,1.0,5.0,0.5,18:01:00
3.0,7.0,2020-07-18,1.0,3.0,0.5,11:26:00
3.0,7.0,2020-07-15,15.0,4.0,0.5,17:24:00
,,2019-08-28,22.0,2.99,3.49,18:28:00
3.0,7.0,2019-08-03,8.0,4.0,0.5,11:22:00
3.0,7.0,2020-08-05,15.0,2.0,0.5,16:22:00
3.0,7.0,2020-07-25,21.0,,0.5,10:23:00
4.0,7.0,2019-05-08,2.0,4.0,,18:10:00
,7.0,2019-05-18,1.0,5.0,4.0,12:56:00
4.0,,2019-04-27,4.0,3.0,3.5,12:28:00
1.0,7.0,2020-09-12,2.0,4.92,,10:58:00
2.0,7.0,,17.0,8.05,3.49,13:27:00
2.0,7.0,2020-08-05,,1.42,3.49,
4.0,7.0,2019-05-11,6.0,2.0,,11:04:00
3.0,,2019-08-24,13.0,4.0,0.5,13:02:00
4.0,7.0,2019-05-08,2.0,1.0,4.0,18:17:00
2.0,7.0,2020-08-12,16.0,3.53,3.49,17:53:00
3.0,,2019-07-17,,4.0,0.5,18:36:00
2.0,7.0,2020-09-09,15.0,4.21,3.49,18:52:00
2.0,7.0,2019-08-03,14.0,2.44,3.49,9:48:00
3.0,7.0,2019-07-24,3.0,2.0,0.5,18:59:00
3.0,7.0,,1.0,5.0,0.5,18:46:00
1.0,7.0,2020-07-25,,5.71,6.99,10:33:00
3.0,7.0,2019-09-11,22.0,5.0,0.5,18:41:00
3.0,7.0,2019-09-18,17.0,3.0,0.5,
2.0,,2019-08-21,26.0,2.44,3.49,
2.0,7.0,2019-07-31,3.0,2.34,,18:49:00
4.0,7.0,2019-04-24,13.0,1.0,,
4.0,7.0,2019-06-12,17.0,4.0,4.0,18:46:00
1.0,7.0,,11.0,3.06,6.99,18:29:00
3.0,7.0,2020-07-18,5.0,4.0,0.5,
1.0,7.0,2019-09-07,12.0,,6.99,
3.0,7.0,2020-08-22,12.0,2.0,0.5,9:41:00
1.0,7.0,2020-09-09,20.0,0.12,6.99,18:30:00
3.0,7.0,2020-08-19,24.0,4.0,0.5,18:30:00
1.0,7.0,,14.0,0.03,6.99,9:09:00
1.0,7.0,,14.0,3.88,6.99,18:51:00
2.0,7.0,,13.0,2.37,3.49,
2.0,7.0,2020-08-22,5.0,4.99,3.49,13:58:00
1.0,7.0,2019-08-21,11.0,,6.99,
3.0,7.0,2020-07-08,10.0,2.0,0.5,18:42:00
3.0,7.0,,,3.0,0.5,13:03:00
2.0,,2019-08-31,26.0,4.78,3.49,9:29:00
3.0,7.0,2019-08-03,22.0,3.0,0.5,
1.0,7.0,2019-07-03,15.0,1.53,6.99,18:41:00
2.0,7.0,2019-09-04,14.0,4.21,3.49,17:30:00
4.0,7.0,2019-04-27,13.0,2.0,3.5,11:58:00
4.0,7.0,2019-04-24,13.0,,4.0,17:15:00
