product_id,product_name,product_size,product_category_id,product_qty_type
21.0,Organic Cherry Tomatoes,,1.0,unit
20.0,Homemade Beeswax Candles,6,,unit
3.0,Poblano Peppers - Organic,large,,
12.0,Baby Salad Lettuce Mix - Bag,1/2 lb,,
16.0,Sweet Corn,Ear,1.0,unit
7.0,Apple Pie,10,3.0,unit
13.0,Baby Salad Lettuce Mix,1 lb,1.0,lbs
17.0,Carrots,sold by weight,1.0,
1.0,Habanero Peppers - Organic,medium,1.0,lbs
,Pork Chops,1 lb,6.0,
15.0,Red Potatoes - Small, ,,Null
14.0,Red Potatoes,,1.0,
23.0,Maple Syrup - Jar,8 oz,2.0,unit
8.0,Cherry Pie,10,3.0,unit
16.0,Sweet Corn,Ear,1.0,unit
18.0,Carrots - Organic,bunch,,unit
6.0,Cut Zinnias Bouquet,medium,5.0,unit
5.0,Whole Wheat Bread,1.5 lbs,3.0,unit
19.0,Farmer's Market Resuable Shopping Bag,medium,7.0,unit
22.0,,medium,1.0,lbs
10.0,Eggs,1 dozen,,unit
9.0,Sweet Potatoes,medium,1.0,lbs
4.0,Banana Peppers - Jar,8 oz,3.0,unit
2.0,Jalapeno Peppers - Organic,small,1.0,lbs
